task,case_id,expected,predicted,split,reviewer,annotation,notes
relation_support,REL_REL_0241,,1,train,,,RESOLVES_TO:
reference_resolution,REL_REL_0241,,doc_chuong-iii_muc-1_dieu-26_p180,train,,,Resolved to doc_chuong-iii_muc-1_dieu-26_p180
relation_support,REL_REL_0484,,1,train,,,ALLOW: có quyền và nghĩa vụ theo điều ước quốc tế đó
relation_support,REL_REL_0727,,1,train,,,"PROHIBIT: Cá nhân không sinh sống trong khu vực rừng phòng hộ, rừng đặc dụng thì không được nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất ở và đất khác trong khu vực rừng phòng hộ, trong phân khu bảo vệ nghiêm ngặt, phân khu phục hồi sinh thái thuộc rừng đặc dụng đó;"
relation_support,REL_REL_0520,,1,test,,,REQUIRE: người thuê lại quyền sử dụng đất phải sử dụng đất đúng mục đích và thực hiện nghĩa vụ tài chính theo quy định.
relation_support,REL_REL_0539,,1,test,,,"REQUIRE: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0094,,1,train,,,"ALLOW: Tổ chức kinh tế, tổ chức kinh tế có vốn đầu tư nước ngoài nhận góp vốn bằng quyền sử dụng đất"
relation_support,REL_REL_0428,,1,train,,,"ALLOW: Trường hợp thuê đất, thuê lại đất trả tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 2 Điều này."
relation_support,REL_REL_0252,,1,train,,,"ALLOW: Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0241,,1,train,,,RESOLVES_TO:
reference_resolution,REL_REL_0241,,doc_chuong-iii_muc-1_dieu-31_p9431,train,,,Resolved to doc_chuong-iii_muc-1_dieu-31_p9431
relation_support,REL_REL_0776,,1,train,,,"PROHIBIT: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0556,,1,train,,,"REQUIRE: Tổ chức kinh tế có vốn đầu tư nước ngoài nhận góp vốn bằng quyền sử dụng đất có nguồn gốc được Nhà nước giao có thu tiền sử dụng đất, quyền sử dụng đất được thuê trả tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 3 Điều 41 của Luật này."
relation_support,REL_REL_0742,,1,train,,,"REQUIRE: Người mua tài sản gắn liền với đất hoặc mua tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất được tiếp tục sử dụng đất đúng mục đích trong thời hạn sử dụng đất còn lại, được tiếp tục khấu trừ tiền đã ứng trước mà chưa được khấu trừ quy định tại điểm b khoản 2 Điều này và phải thực hiện thủ tục đăng ký đất đai theo quy định của Luật này."
relation_support,REL_REL_0324,,1,train,,,RESOLVES_TO:
reference_resolution,REL_REL_0324,,doc_chuong-iii_muc-1_dieu-31_p9431,train,,,Resolved to doc_chuong-iii_muc-1_dieu-31_p9431
relation_support,REL_REL_0240,,1,train,,,"ALLOW: Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0399,,1,test,,,ALLOW: Cá nhân được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:
relation_support,REL_REL_0688,,1,train,,,ALLOW: Người sử dụng đất khi thực hiện các quyền chuyển đổi
relation_support,REL_REL_0638,,1,train,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:"
relation_support,REL_REL_0549,,1,train,,,RESOLVES_TO:
reference_resolution,REL_REL_0549,,doc_chuong-iii_muc-4_dieu-41_p28202,train,,,Resolved to doc_chuong-iii_muc-4_dieu-41_p28202
relation_support,REL_REL_0488,,1,train,,,ALLOW: Người gốc Việt Nam định cư ở nước ngoài về đầu tư tại Việt Nam được Nhà nước giao đất có thu tiền sử dụng đất có các quyền và nghĩa vụ quy định tại khoản 1 Điều 33 của Luật này.
relation_support,REL_REL_0034,,1,test,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan."
relation_support,REL_REL_0200,,1,train,,,"REQUIRE: Sử dụng đất đúng mục đích, đúng ranh giới thửa đất, đúng quy định về sử dụng độ sâu trong lòng đất và chiều cao trên không, bảo vệ các công trình công cộng trong lòng đất và tuân thủ quy định khác của pháp luật có liên quan."
relation_support,REL_REL_0283,,1,train,,,"REQUIRE: Tổ chức kinh tế, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0755,,1,train,,,"ALLOW: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này được để thừa kế, tặng cho, chuyển nhượng quyền sử dụng đất cho người thuộc hàng thừa kế là đối tượng quy định tại khoản 2 Điều 16 của Luật này."
relation_support,REL_REL_0770,,1,train,,,"ALLOW: Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này."
relation_support,REL_REL_0054,,1,train,,,ALLOW: các thành viên cùng nhau thực hiện hoặc ủy quyền cho người đại diện để thực hiện quyền và nghĩa vụ của nhóm người sử dụng đất
relation_support,REL_REL_0664,,1,train,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:"
relation_support,REL_REL_0324,,1,train,,,RESOLVES_TO:
reference_resolution,REL_REL_0324,,doc_chuong-iii_muc-1_dieu-26_p180,train,,,Resolved to doc_chuong-iii_muc-1_dieu-26_p180
relation_support,REL_REL_0489,,1,train,,,REQUIRE: Người gốc Việt Nam định cư ở nước ngoài về đầu tư tại Việt Nam được Nhà nước giao đất có thu tiền sử dụng đất có các quyền và nghĩa vụ quy định tại khoản 1 Điều 33 của Luật này.
relation_support,REL_REL_0617,,1,train,,,ALLOW: bên chuyển nhượng trong hợp đồng chuyển nhượng quyền sử dụng đất là người nhận thừa kế
relation_support,REL_REL_0115,,1,train,,,"ALLOW: Tổ chức kinh tế, đơn vị sự nghiệp công lập, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài, tổ chức nước ngoài có chức năng ngoại giao được Nhà nước cho thuê đất;"
relation_support,REL_REL_0275,,1,train,,,"ALLOW: Tổ chức trong nước được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có các quyền và nghĩa vụ theo quy định sau đây"
relation_support,REL_REL_0639,,1,train,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:"
relation_support,REL_REL_0207,,1,train,,,REQUIRE: Thực hiện kê khai đăng ký đất đai
relation_support,REL_REL_0723,,1,train,,,"PROHIBIT: Tổ chức kinh tế không được nhận chuyển nhượng quyền sử dụng đất rừng phòng hộ, đất rừng đặc dụng của cá nhân"
relation_support,REL_REL_0350,,1,train,,,ALLOW: Trường hợp thuộc hình thức Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.
relation_support,REL_REL_0067,,1,train,,,"ALLOW: Hợp đồng cho thuê, cho thuê lại quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, hợp đồng chuyển đổi quyền sử dụng đất nông nghiệp; hợp đồng chuyển nhượng, góp vốn bằng quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, tài sản gắn liền với đất mà một bên hoặc các bên tham gia giao dịch là tổ chức hoạt động kinh doanh bất động sản được công chứng hoặc chứng thực theo yêu cầu của các bên;"
relation_support,REL_REL_0089,,1,train,,,ALLOW: Tổ chức kinh tế có vốn đầu tư nước ngoài được nhận chuyển nhượng vốn đầu tư là giá trị quyền sử dụng đất theo quy định của Chính phủ
relation_support,REL_REL_0086,,1,test,,,"ALLOW: Tổ chức kinh tế có vốn đầu tư nước ngoài, người gốc Việt Nam định cư ở nước ngoài được phép nhập cảnh vào Việt Nam được nhận chuyển nhượng quyền sử dụng đất trong khu công nghiệp, cụm công nghiệp, khu công nghệ cao;"
relation_support,REL_REL_0098,,1,train,,,"ALLOW: Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận tặng cho quyền sử dụng đất theo quy định của Luật này;"
relation_support,REL_REL_0014,,1,train,,,ALLOW: Được quyền chuyển mục đích sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan.
relation_support,REL_REL_0177,,1,test,,,"ALLOW: Tổ chức trong nước, cá nhân được nhận chuyển nhượng quyền sử dụng đất theo quy định của pháp luật không phụ thuộc vào nơi cư trú, nơi đóng trụ sở, trừ trường hợp quy định tại khoản 8 Điều 45 và Điều 48 của Luật này."
relation_support,REL_REL_0101,,1,train,,,"ALLOW: Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận thừa kế quyền sử dụng đất"
relation_support,REL_REL_0031,,1,test,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan."
relation_support,REL_REL_0048,,1,train,,,ALLOW: Trường hợp trong nhóm người sử dụng đất có thành viên là tổ chức kinh tế thì có quyền và nghĩa vụ như quyền và nghĩa vụ của tổ chức kinh tế theo quy định của Luật này.
relation_support,REL_REL_0728,,1,train,,,"PROHIBIT: Cá nhân không sinh sống trong khu vực rừng phòng hộ, rừng đặc dụng thì không được nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất ở và đất khác trong khu vực rừng phòng hộ, trong phân khu bảo vệ nghiêm ngặt, phân khu phục hồi sinh thái thuộc rừng đặc dụng đó;"
relation_support,REL_REL_0340,,1,train,,,REQUIRE: Trường hợp nhận chuyển nhượng và chuyển mục đích sử dụng đất mà thuộc trường hợp được Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.
relation_support,REL_REL_0277,,1,train,,,"REQUIRE: Tổ chức trong nước được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê"
relation_support,REL_REL_0495,,1,train,,,"REQUIRE: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0354,,1,train,,,"ALLOW: Tổ chức kinh tế nhận góp vốn bằng quyền sử dụng đất của cá nhân, tổ chức kinh tế khác thì có quyền và nghĩa vụ quy định tại Điều 33 của Luật này trong các trường hợp sau đây"
relation_support,REL_REL_0605,,1,test,,,ALLOW: Người gốc Việt Nam định cư ở nước ngoài thuộc đối tượng quy định tại khoản 1 Điều này có các quyền và nghĩa vụ sau đây:
relation_support,REL_REL_0029,,1,test,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan."
relation_support,REL_REL_0516,,1,test,,,"ALLOW: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0526,,1,train,,,"REQUIRE: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:"
relation_support,REL_REL_0416,,1,train,,,"ALLOW: Cá nhân được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây: Thế chấp tài sản thuộc sở hữu của mình gắn liền với đất tại các tổ chức tín dụng được phép hoạt động tại Việt Nam, tại tổ chức kinh tế khác hoặc cá nhân theo quy định của pháp luật;"
relation_support,REL_REL_0055,,1,test,,,"ALLOW: Việc công chứng, chứng thực hợp đồng, văn bản thực hiện các quyền của người sử dụng đất được thực hiện như sau:"
relation_support,REL_REL_0553,,1,train,,,"REQUIRE: Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài sử dụng đất để thực hiện các dự án đầu tư tại Việt Nam được Nhà nước giao đất, cho thuê đất trả tiền thuê đất một lần cho cả thời gian thuê nhưng được miễn, giảm tiền sử dụng đất, tiền thuê đất thì có quyền và nghĩa vụ quy định tại khoản 3 Điều 33 của Luật này."
relation_support,REL_REL_0036,,1,test,,,"ALLOW: Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan."
reference_resolution,REL_REL_0767,,TARGET_NOT_FOUND_IN_M4,train,,,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này thì được thế chấp quyền sử dụng đất tại ngân hàng chính sách."
reference_resolution,REL_REL_0549,,doc_chuong-iii_muc-4_dieu-41_p28202,train,,,"quy định tại khoản 2 và khoản 3 Điều này tương ứng với hình thức nộp tiền sử dụng đất, trả tiền thuê đất."
reference_resolution,REL_REL_0598,,doc_chuong-iii_muc-1_dieu-26_p180|doc_chuong-iii_muc-1_dieu-31_p9431,train,,,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;
reference_resolution,REL_REL_0492,,TARGET_NOT_FOUND_IN_M4,train,,,Người gốc Việt Nam định cư ở nước ngoài về đầu tư tại Việt Nam được Nhà nước giao đất có thu tiền sử dụng đất có các quyền và nghĩa vụ quy định tại khoản 1 Điều 33 của Luật này.
reference_resolution,REL_REL_0462,,TARGET_NOT_FOUND_IN_M4,train,,,Cộng đồng dân cư sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.
reference_resolution,REL_REL_0241,,doc_chuong-iii_muc-1_dieu-26_p180|doc_chuong-iii_muc-1_dieu-31_p9431,train,,,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;
reference_resolution,REL_REL_0345,,TARGET_NOT_FOUND_IN_M4,train,,,quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.
reference_resolution,REL_REL_0461,,TARGET_NOT_FOUND_IN_M4,train,,,Cộng đồng dân cư sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.
reference_resolution,REL_REL_0019,,TARGET_NOT_FOUND_IN_M4,train,,,"Được bồi thường, hỗ trợ, tái định cư khi Nhà nước thu hồi đất theo quy định của Luật này."
reference_resolution,REL_REL_0324,,doc_chuong-iii_muc-1_dieu-26_p180|doc_chuong-iii_muc-1_dieu-31_p9431,train,,,"Tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất, chuyển mục đích sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này."
reference_resolution,REL_REL_0231,,TARGET_NOT_FOUND_IN_M4,test,,,"Tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước giao đất không thu tiền sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này."
reference_resolution,REL_REL_0284,,doc_chuong-iii_muc-1_dieu-26_p180|doc_chuong-iii_muc-1_dieu-31_p9431,train,,,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;
reference_resolution,REL_REL_0468,,doc_chuong-iii_muc-1_dieu-26_p180|doc_chuong-iii_muc-1_dieu-31_p9431,test,,,Quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này;
reference_resolution,REL_REL_0230,,TARGET_NOT_FOUND_IN_M4,test,,,"Tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước giao đất không thu tiền sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này."
reference_resolution,REL_REL_0635,,TARGET_NOT_FOUND_IN_M4,test,,,Người nhận thừa kế trong các trường hợp quy định tại điểm c khoản 3 và khoản 4 Điều này được ủy quyền bằng văn bản cho người khác trông nom hoặc tạm sử dụng đất và thực hiện nghĩa vụ theo quy định của pháp luật về đất đai và quy định khác của pháp luật có liên quan.
reference_resolution,REL_REL_0349,,TARGET_NOT_FOUND_IN_M4,test,,,quy định tại khoản 1 và khoản 3 Điều 33 của Luật này
reference_resolution,REL_REL_0440,,TARGET_NOT_FOUND_IN_M4,train,,,"Cá nhân sử dụng đất thuê của tổ chức, cá nhân không thuộc trường hợp quy định tại khoản 3 Điều này thì có quyền và nghĩa vụ theo quy định của pháp luật về dân sự."
reference_resolution,REL_REL_0004,,TARGET_NOT_FOUND_IN_M4,train,,,"Được cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất khi có đủ điều kiện theo quy định của pháp luật về đất đai."
reference_resolution,REL_REL_0379,,TARGET_NOT_FOUND_IN_M4,train,,,"Chuyển nhượng quyền sử dụng đất, tài sản thuộc sở hữu của mình gắn liền với đất theo quy định của pháp luật"
reference_resolution,REL_REL_0634,,TARGET_NOT_FOUND_IN_M4,test,,,Người nhận thừa kế trong các trường hợp quy định tại điểm c khoản 3 và khoản 4 Điều này được ủy quyền bằng văn bản cho người khác trông nom hoặc tạm sử dụng đất và thực hiện nghĩa vụ theo quy định của pháp luật về đất đai và quy định khác của pháp luật có liên quan.
reference_resolution,REL_REL_0045,,TARGET_NOT_FOUND_IN_M4,test,,,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan."
reference_resolution,REL_REL_0328,,TARGET_NOT_FOUND_IN_M4,train,,,Tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất có nguồn gốc do được Nhà nước giao có thu tiền sử dụng đất hoặc Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này.
reference_resolution,REL_REL_0373,,TARGET_NOT_FOUND_IN_M4,train,,,"Quyền sử dụng đất của tổ chức kinh tế là doanh nghiệp khi giải thể, phá sản được xử lý theo quy định của pháp luật về doanh nghiệp, pháp luật về phá sản và quy định khác của pháp luật có liên quan."
reference_resolution,REL_REL_0100,,TARGET_NOT_FOUND_IN_M4,train,,,"Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận tặng cho quyền sử dụng đất theo quy định của Luật này;"
reference_resolution,REL_REL_0582,,TARGET_NOT_FOUND_IN_M4,train,,,"Người gốc Việt Nam định cư ở nước ngoài nhận chuyển nhượng quyền sử dụng đất trong khu công nghiệp, cụm công nghiệp, khu công nghệ cao có quyền và nghĩa vụ quy định tại khoản 1 và khoản 3 Điều 33 của Luật này."
reference_resolution,REL_REL_0321,,TARGET_NOT_FOUND_IN_M4,train,,,thì có các quyền và nghĩa vụ theo quy định của pháp luật về dân sự.
reference_resolution,REL_REL_0015,,TARGET_NOT_FOUND_IN_M4,train,,,Được quyền chuyển mục đích sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan.
deontic_conflict,conflict:REL_REL_0765:REL_REL_0777,,1,train,,,REQUIRE conflict with PROHIBIT for the same subject/action without a linked exception.
deontic_conflict,pair:REL_REL_0376:REL_REL_0777,,0,train,,,Review if these distinct subject/action pairs can conflict.
deontic_conflict,pair:REL_REL_0035:REL_REL_0775,,0,test,,,Review if these distinct subject/action pairs can conflict.
deontic_conflict,pair:REL_REL_0339:REL_REL_0723,,0,train,,,Review if these distinct subject/action pairs can conflict.
deontic_conflict,pair:REL_REL_0663:REL_REL_0775,,0,train,,,Review if these distinct subject/action pairs can conflict.
deontic_conflict,pair:REL_REL_0020:REL_REL_0775,,0,train,,,Review if these distinct subject/action pairs can conflict.
