relation_id,relation_type,source,target,evidence,score,label,split
REL_REL_0777,PROHIBIT,subject.state,action.transaction.mortgage,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này.",0.5,,train
REL_REL_0236,ALLOW,subject.land_user.domestic_org.economic,unassigned.cho_thuê_đất,"Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0267,REQUIRE,subject.state,unassigned.quyền_và_nghĩa_vụ,"Đơn vị sự nghiệp công lập được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê để đầu tư xây dựng kinh doanh kết cấu hạ tầng khu công nghiệp, cụm công nghiệp quy định tại khoản 2 Điều 202 của Luật này thì có quyền và nghĩa vụ quy định tại khoản 1 Điều này.",0.5,,test
REL_REL_0275,ALLOW,subject.land_user.domestic_org.economic,unassigned.quyền_và_nghĩa_vụ,"Tổ chức trong nước được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê thì có các quyền và nghĩa vụ theo quy định sau đây",0.5,,train
REL_REL_0444,REQUIRE,subject.state,unassigned.chuyển_mục_đích_sử_dụng_đất,Cá nhân được phép chuyển mục đích sử dụng đất từ đất được Nhà nước giao đất không thu tiền sử dụng đất sang đất được Nhà nước giao đất có thu tiền sử dụng đất hoặc Nhà nước cho thuê đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.,0.5,,train
REL_REL_0323,REQUIRE,subject.land_user.domestic_org.economic,unassigned.quyền_và_nghĩa_vụ_chung,"Tổ chức kinh tế nhận chuyển nhượng quyền sử dụng đất, chuyển mục đích sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.",0.5,,train
REL_REL_0485,REQUIRE,subject.state,unassigned.quyền_và_nghĩa_vụ,có quyền và nghĩa vụ theo điều ước quốc tế đó,0.5,,train
REL_REL_0637,ALLOW,subject.land_user.individual.citizen,action.transaction.transfer,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:",0.5,,train
REL_REL_0488,ALLOW,subject.land_user.foreign.overseas_vietnamese,unassigned.quyền_và_nghĩa_vụ,Người gốc Việt Nam định cư ở nước ngoài về đầu tư tại Việt Nam được Nhà nước giao đất có thu tiền sử dụng đất có các quyền và nghĩa vụ quy định tại khoản 1 Điều 33 của Luật này.,0.5,,train
REL_REL_0228,REQUIRE,subject.state,unassigned.quyền_và_nghĩa_vụ_chung,"Tổ chức trong nước, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước giao đất không thu tiền sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.",0.5,,test
REL_REL_0324,RESOLVES_TO,unassigned.điều_26_và_điều_31,doc_chuong-iii_muc-1_dieu-31_p9431,,1.0,,train
REL_REL_0484,ALLOW,subject.land_user.foreign.diplomatic,unassigned.quyền_và_nghĩa_vụ,có quyền và nghĩa vụ theo điều ước quốc tế đó,0.5,,train
REL_REL_0727,PROHIBIT,subject.land_user.individual.citizen,unassigned.nhận_chuyển_nhượng,"Cá nhân không sinh sống trong khu vực rừng phòng hộ, rừng đặc dụng thì không được nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất ở và đất khác trong khu vực rừng phòng hộ, trong phân khu bảo vệ nghiêm ngặt, phân khu phục hồi sinh thái thuộc rừng đặc dụng đó;",0.5,,train
REL_REL_0520,REQUIRE,subject.land_user.foreign.fdi_enterprise,unassigned.sử_dụng_đất_đúng_mục_đích,người thuê lại quyền sử dụng đất phải sử dụng đất đúng mục đích và thực hiện nghĩa vụ tài chính theo quy định.,0.5,,test
REL_REL_0539,REQUIRE,subject.state,action.transaction.lease,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:",0.5,,test
REL_REL_0094,ALLOW,subject.land_user.foreign.fdi_enterprise,unassigned.góp_vốn,"Tổ chức kinh tế, tổ chức kinh tế có vốn đầu tư nước ngoài nhận góp vốn bằng quyền sử dụng đất",0.5,,train
REL_REL_0034,ALLOW,subject.land_user.individual.citizen,action.transaction.donate,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan.",0.5,,test
REL_REL_0252,ALLOW,subject.land_user.domestic_org.economic,action.transaction.mortgage,"Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0019,RESOLVES_TO,unassigned.quy_định_của_luật_này,document_59_2024_qh15,,1.0,,train
REL_REL_0776,PROHIBIT,subject.state,unassigned.thừa_kế,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này không được chuyển nhượng, góp vốn, tặng cho, thừa kế, thế chấp quyền sử dụng đất, trừ trường hợp quy định tại khoản 1 và khoản 2 Điều này.",0.5,,train
REL_REL_0556,REQUIRE,subject.land_user.foreign.fdi_enterprise,action.transaction.capital_contribution,"Tổ chức kinh tế có vốn đầu tư nước ngoài nhận góp vốn bằng quyền sử dụng đất có nguồn gốc được Nhà nước giao có thu tiền sử dụng đất, quyền sử dụng đất được thuê trả tiền thuê đất một lần cho cả thời gian thuê thì có quyền và nghĩa vụ quy định tại khoản 3 Điều 41 của Luật này.",0.5,,train
REL_REL_0742,REQUIRE,subject.land_user.individual.citizen,action.procedural.registration,"Người mua tài sản gắn liền với đất hoặc mua tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất được tiếp tục sử dụng đất đúng mục đích trong thời hạn sử dụng đất còn lại, được tiếp tục khấu trừ tiền đã ứng trước mà chưa được khấu trừ quy định tại điểm b khoản 2 Điều này và phải thực hiện thủ tục đăng ký đất đai theo quy định của Luật này.",0.5,,train
REL_REL_0549,RESOLVES_TO,unassigned.điều_này,doc_chuong-iii_muc-4_dieu-41_p28202,,1.0,,train
REL_REL_0632,REQUIRE,subject.land_user.individual.heir,unassigned.nghĩa_vụ,Người nhận thừa kế trong các trường hợp quy định tại điểm c khoản 3 và khoản 4 Điều này được ủy quyền bằng văn bản cho người khác trông nom hoặc tạm sử dụng đất và thực hiện nghĩa vụ theo quy định của pháp luật về đất đai và quy định khác của pháp luật có liên quan.,0.5,,test
REL_REL_0399,ALLOW,subject.land_user.individual.citizen,action.transaction.lease,Cá nhân được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:,0.5,,test
REL_REL_0688,ALLOW,subject.land_user.individual.citizen,unassigned.chuyển_đổi,Người sử dụng đất khi thực hiện các quyền chuyển đổi,0.5,,train
REL_REL_0638,ALLOW,subject.land_user.individual.citizen,action.transaction.lease,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:",0.5,,train
REL_REL_0015,RESOLVES_TO,reference.law.land_law_2024,document_59_2024_qh15,,1.0,,train
REL_REL_0240,ALLOW,subject.land_user.domestic_org.economic,unassigned.quyền_và_nghĩa_vụ_chung,"Tổ chức kinh tế được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê có quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0639,ALLOW,subject.land_user.individual.citizen,unassigned.cho_thuê_lại,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:",0.5,,train
REL_REL_0200,REQUIRE,subject.land_user.individual.citizen,unassigned.sử_dụng_đất,"Sử dụng đất đúng mục đích, đúng ranh giới thửa đất, đúng quy định về sử dụng độ sâu trong lòng đất và chiều cao trên không, bảo vệ các công trình công cộng trong lòng đất và tuân thủ quy định khác của pháp luật có liên quan.",0.5,,train
REL_REL_0283,REQUIRE,subject.state,unassigned.quyền_và_nghĩa_vụ_chung,"Tổ chức kinh tế, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0755,ALLOW,subject.land_user.individual.ethnic_minority,action.transaction.donate,"Cá nhân là người dân tộc thiểu số được Nhà nước giao đất, cho thuê đất theo quy định tại khoản 3 Điều 16 của Luật này được để thừa kế, tặng cho, chuyển nhượng quyền sử dụng đất cho người thuộc hàng thừa kế là đối tượng quy định tại khoản 2 Điều 16 của Luật này.",0.5,,train
REL_REL_0307,ALLOW,subject.land_user.domestic_org.public_service,action.transaction.transfer,"Đơn vị sự nghiệp công lập được Nhà nước cho thuê đất thu tiền thuê đất hằng năm không thuộc trường hợp sử dụng đất để đầu tư xây dựng kinh doanh kết cấu hạ tầng khu công nghiệp, cụm công nghiệp quy định tại khoản 2 Điều 202 của Luật này thì có quyền và nghĩa vụ quy định tại khoản 1 Điều này, trừ quyền bán, quyền thế chấp và quyền góp vốn bằng tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất",0.5,,train
REL_REL_0032,ALLOW,subject.land_user.individual.citizen,unassigned.cho_thuê_lại,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan.",0.5,,test
REL_REL_0664,ALLOW,subject.land_user.individual.citizen,unassigned.cho_thuê_lại,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất khi có đủ các điều kiện sau đây:",0.5,,train
REL_REL_0241,RESOLVES_TO,unassigned.điều_26_và_điều_31_của_luật_này,doc_chuong-iii_muc-1_dieu-26_p180,,1.0,,train
REL_REL_0489,REQUIRE,subject.state,unassigned.quyền_và_nghĩa_vụ,Người gốc Việt Nam định cư ở nước ngoài về đầu tư tại Việt Nam được Nhà nước giao đất có thu tiền sử dụng đất có các quyền và nghĩa vụ quy định tại khoản 1 Điều 33 của Luật này.,0.5,,train
REL_REL_0617,ALLOW,subject.land_user.individual.heir,action.transaction.transfer,bên chuyển nhượng trong hợp đồng chuyển nhượng quyền sử dụng đất là người nhận thừa kế,0.5,,train
REL_REL_0115,ALLOW,subject.state,unassigned.cho_thuê_đất,"Tổ chức kinh tế, đơn vị sự nghiệp công lập, tổ chức tôn giáo, tổ chức tôn giáo trực thuộc, cá nhân, người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài, tổ chức nước ngoài có chức năng ngoại giao được Nhà nước cho thuê đất;",0.5,,train
REL_REL_0103,ALLOW,subject.land_user.community,action.transaction.inheritance,"Tổ chức trong nước, cá nhân, cộng đồng dân cư được nhận thừa kế quyền sử dụng đất",0.5,,train
REL_REL_0324,RESOLVES_TO,unassigned.điều_26_và_điều_31,doc_chuong-iii_muc-1_dieu-26_p180,,1.0,,train
REL_REL_0207,REQUIRE,subject.land_user.individual.citizen,action.procedural.registration,Thực hiện kê khai đăng ký đất đai,0.5,,train
REL_REL_0723,PROHIBIT,subject.land_user.domestic_org.economic,unassigned.nhận_chuyển_nhượng,"Tổ chức kinh tế không được nhận chuyển nhượng quyền sử dụng đất rừng phòng hộ, đất rừng đặc dụng của cá nhân",0.5,,train
REL_REL_0350,ALLOW,subject.state,unassigned.cho_thuê_đất,Trường hợp thuộc hình thức Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.,0.5,,train
REL_REL_0067,ALLOW,subject.land_user.domestic_org.economic,action.transaction.lease,"Hợp đồng cho thuê, cho thuê lại quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, hợp đồng chuyển đổi quyền sử dụng đất nông nghiệp; hợp đồng chuyển nhượng, góp vốn bằng quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, tài sản gắn liền với đất mà một bên hoặc các bên tham gia giao dịch là tổ chức hoạt động kinh doanh bất động sản được công chứng hoặc chứng thực theo yêu cầu của các bên;",0.5,,train
REL_REL_0241,RESOLVES_TO,unassigned.điều_26_và_điều_31_của_luật_này,doc_chuong-iii_muc-1_dieu-31_p9431,,1.0,,train
REL_REL_0054,ALLOW,subject.land_user.individual.citizen,unassigned.ủy_quyền,các thành viên cùng nhau thực hiện hoặc ủy quyền cho người đại diện để thực hiện quyền và nghĩa vụ của nhóm người sử dụng đất,0.5,,train
REL_REL_0510,ALLOW,subject.land_user.individual.citizen,unassigned.tiếp_tục_thuê_đất,"Người mua tài sản gắn liền với đất và quyền thuê trong hợp đồng thuê đất được tiếp tục thuê đất theo mục đích đã được xác định và thời hạn sử dụng đất còn lại, có các quyền và nghĩa vụ của người sử dụng đất theo quy định của Luật này và pháp luật có liên quan;",0.5,,train
REL_REL_0014,ALLOW,subject.land_user.individual.citizen,unassigned.chuyển_mục_đích_sử_dụng_đất,Được quyền chuyển mục đích sử dụng đất theo quy định của Luật này và quy định khác của pháp luật có liên quan.,0.5,,train
REL_REL_0455,ALLOW,subject.state,unassigned.quyền_và_nghĩa_vụ,có quyền và nghĩa vụ quy định tại khoản 2 Điều 37 của Luật này,0.5,,train
REL_REL_0036,ALLOW,subject.land_user.individual.citizen,unassigned.góp_vốn,"Người sử dụng đất được thực hiện các quyền chuyển đổi, chuyển nhượng, cho thuê, cho thuê lại, thừa kế, tặng cho quyền sử dụng đất; thế chấp, góp vốn bằng quyền sử dụng đất theo quy định của Luật này và luật khác có liên quan.",0.5,,test
REL_REL_0459,ALLOW,subject.land_user.community,unassigned.quyền_và_nghĩa_vụ_chung,Cộng đồng dân cư sử dụng đất có quyền và nghĩa vụ chung quy định tại Điều 26 và Điều 31 của Luật này.,0.5,,train
REL_REL_0073,ALLOW,subject.land_user.domestic_org.economic,action.transaction.capital_contribution,"Hợp đồng cho thuê, cho thuê lại quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, hợp đồng chuyển đổi quyền sử dụng đất nông nghiệp; hợp đồng chuyển nhượng, góp vốn bằng quyền sử dụng đất, quyền sử dụng đất và tài sản gắn liền với đất, tài sản gắn liền với đất mà một bên hoặc các bên tham gia giao dịch là tổ chức hoạt động kinh doanh bất động sản được công chứng hoặc chứng thực theo yêu cầu của các bên;",0.5,,train
REL_REL_0728,PROHIBIT,subject.land_user.individual.citizen,unassigned.nhận_tặng_cho,"Cá nhân không sinh sống trong khu vực rừng phòng hộ, rừng đặc dụng thì không được nhận chuyển nhượng, nhận tặng cho quyền sử dụng đất ở và đất khác trong khu vực rừng phòng hộ, trong phân khu bảo vệ nghiêm ngặt, phân khu phục hồi sinh thái thuộc rừng đặc dụng đó;",0.5,,train
REL_REL_0340,REQUIRE,subject.state,unassigned.quyền_và_nghĩa_vụ,Trường hợp nhận chuyển nhượng và chuyển mục đích sử dụng đất mà thuộc trường hợp được Nhà nước cho thuê đất thu tiền thuê đất hằng năm thì có quyền và nghĩa vụ quy định tại khoản 1 Điều 34 của Luật này.,0.5,,train
REL_REL_0277,REQUIRE,subject.land_user.domestic_org.economic,unassigned.cho_thuê_đất,"Tổ chức trong nước được Nhà nước giao đất có thu tiền sử dụng đất, cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê",0.5,,train
REL_REL_0495,REQUIRE,subject.state,unassigned.cho_thuê_đất,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0354,ALLOW,subject.land_user.domestic_org.economic,action.transaction.capital_contribution,"Tổ chức kinh tế nhận góp vốn bằng quyền sử dụng đất của cá nhân, tổ chức kinh tế khác thì có quyền và nghĩa vụ quy định tại Điều 33 của Luật này trong các trường hợp sau đây",0.5,,train
REL_REL_0540,ALLOW,subject.land_user.foreign.overseas_vietnamese,action.transaction.mortgage,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0690,ALLOW,subject.land_user.individual.citizen,action.transaction.lease,Người sử dụng đất khi thực hiện các quyền cho thuê,0.5,,train
REL_REL_0516,ALLOW,subject.land_user.foreign.overseas_vietnamese,action.transaction.lease,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây:",0.5,,test
REL_REL_0526,REQUIRE,subject.state,unassigned.giao_đất,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước cho thuê đất thu tiền thuê đất một lần cho cả thời gian thuê; tổ chức kinh tế có vốn đầu tư nước ngoài được Nhà nước giao đất có thu tiền sử dụng đất để thực hiện dự án có các quyền và nghĩa vụ sau đây:",0.5,,train
REL_REL_0416,ALLOW,subject.land_user.individual.citizen,action.transaction.mortgage,"Cá nhân được Nhà nước cho thuê đất thu tiền thuê đất hằng năm có các quyền và nghĩa vụ sau đây: Thế chấp tài sản thuộc sở hữu của mình gắn liền với đất tại các tổ chức tín dụng được phép hoạt động tại Việt Nam, tại tổ chức kinh tế khác hoặc cá nhân theo quy định của pháp luật;",0.5,,train
REL_REL_0055,ALLOW,subject.land_user.individual.citizen,action.procedural.notarization,"Việc công chứng, chứng thực hợp đồng, văn bản thực hiện các quyền của người sử dụng đất được thực hiện như sau:",0.5,,test
REL_REL_0553,REQUIRE,subject.state,unassigned.cho_thuê_đất,"Người gốc Việt Nam định cư ở nước ngoài, tổ chức kinh tế có vốn đầu tư nước ngoài sử dụng đất để thực hiện các dự án đầu tư tại Việt Nam được Nhà nước giao đất, cho thuê đất trả tiền thuê đất một lần cho cả thời gian thuê nhưng được miễn, giảm tiền sử dụng đất, tiền thuê đất thì có quyền và nghĩa vụ quy định tại khoản 3 Điều 33 của Luật này.",0.5,,train
REL_REL_0178,ALLOW,subject.land_user.individual.citizen,action.transaction.transfer,"Tổ chức trong nước, cá nhân được nhận chuyển nhượng quyền sử dụng đất theo quy định của pháp luật không phụ thuộc vào nơi cư trú, nơi đóng trụ sở, trừ trường hợp quy định tại khoản 8 Điều 45 và Điều 48 của Luật này.",0.5,,test
